Number,Description(eng),source,matching with artworks,matching with other captions,id
c-1,"Ramsons are plants that bloom from April to June, and therefore their blooming is one of the symbols of the beginning of Spring. However, in April 2021, it bloomed under snow, as it marked the coldest the Netherlands has been since 1986.  It snowed throughout the month, filling the south-east part of the Netherlands with up to 10 cm of snow. Compare this to the photograph from 1932. There is no trace of cold there, as it is filled with beautiful trees and well-grown grass, with two girls wearing short-sleeved dresses. Now the current photograph seems a bit unusual, right? ",,"a-1, a-2","c-10, c-2",context-03
c-2,"It isn’t just a coincidence that flowers and frost are colliding more and more recently. Dutch scientists named this phenomenon as, valse lente, which means “false spring”. In the early 1900s, the feeling of spring usually arrived around May 10 each year. Now, it falls around April 27, which is almost two weeks earlier compared to the past. As you might have guessed already, this is due to the warming of spring. In terms of numbers, the average temperature increased by more than 1.5°C. Even with all these changes, the date of the last hard frost has not moved as much. As a result of this, the flowers are arriving while the cold is still here. ","Source: KNMI, De Natuurkalender (Wageningen University) ","a-1, a-2, a-5, a-6","c-1, c-10",context-05
c-3,"Phase 1: Heatwave

If you were here during this summer, you are probably aware of the record-breaking heatwave that took over the entirety of Europe. The average temperature in the Netherlands reached 19.3°C this summer. This is significantly higher than the long-term norm of 17.5°C, making this summer the warmest summer ever since the Dutch weather records began in 1901.

On June 26, temperatures reached a reco rd 39.4°C in Ell, a small town in Limburg, located in the south of the Netherlands. This led the national weather service to issue its first-ever Code Red for heat. ","Source: KNMI, RIVM (Rijksinstituut voor Volksgezondheid en Milieu) ",,c-4,context-09
c-4,"During the extreme heatwave, the perilla leaves on the balcony in the Netherlands were scorched. While these leaves can usually handle temperatures up to 30-35 °C, the record-breaking temperatures were far more than enough to burn them, despite being watered multiple times a day.

At the same time, supermarket shelves and refrigerators across the country were completely emptied. This was a natural panic response from customers looking to either stock up for an unknown emergency and, most importantly, to cool themselves down. This shortage highlights a broader issue beyond the burnt plants. Heat does not just endanger bodies, but it also strains the systems that keep people fed and cool.

Between June 22 and July 5, 2026, the Dutch public health institute, RIVM (Rijksinstituut voor Volksgezondheid en Milieu), recorded over 900 heatwave-related excess deaths. Most of the victims were over 80 and lived in the hardest-hit southern and eastern regions of the Netherlands.",,"a-7, a-8",c-3,context-08
c-5,"Phase 2: False Autumn

On August 16, 2026, temperatures dropped to 19°C in the northwest and 24–25°C in the southeast regions of the Netherlands. This sudden cool-down, driven by a jet stream shift that pulled an unusual cold front across Europe, followed weeks of extreme heat. Suddenly, despite it being mid-August, people were swapping short sleeves for thick jackets. Again, in 19xx, it was not like that; maybe a few swings, but not as intense as now. People could still enjoy their time at the beach without feeling too cold.

However, this late-summer chill wasn’t the first time the weather had defied expectations. Just three weeks after the record-breaking heat of June 26, the ground in Twente froze on the night of July 21. It marked the first time in Dutch recorded history that ground frost had occurred in July. These fluctuations in weather illustrate that the variance within a single season is expanding, rather than just the long-term averages.",,"a-12, a-9, a-10",,context-10
c-6,"By mid-August 2026, leaves in the Netherlands were already turning red and falling due to a severe lack of rain. As a result, we have received three different photographs addressing this issue. In July 1984, the grass and the trees were still full of green.

Summer 2026 brought just 170 mm of rainfall, far below the usual 240 mm norm. July was particularly dry with just 15 mm (normally 78 mm), and the first ten days of August recorded a negligible 0.4 mm. By late August, the national rainfall deficit reached 285 mm, making 2026 one of the top 5% driest years on record, almost matching the historic 1976 drought. 

In response, trees began shedding their leaves and fruits early as a desperate survival mechanism, rather than a seasonal transition. The Dutch call this phenomenon nepherfst, ‘false autumn’. This pattern has now repeated in 2018, 2019, 2022, 2023, 2025, and 2026. By now, Dutch scientists emphasize that this is no longer an anomaly, but rather a major climatic shift.","Source: KNMI, NOS","a-11, a-13, a-14, a-15",,context-11
c-7,"Since 1909, the Dutch province of Friesland has been home to the Elfstedentocht, a legendary 200 km speed-skating race across naturally frozen canals. For the event to take place, the entire route requires an ice thickness of at least 15 cm. In the early 20th century, nature complied roughly once every five years.

Today, however, rising temperatures have changed the game. With average Dutch winter temperatures up by about 2°C, the KNMI and the Netherlands Environmental Assessment Agency (PBL) now estimate the odds of the race happening at just 8% in any given year. In fact, the race has been held only three times in the last 50 years, with the most recent edition dating back to 1997.",,a-22,,context-13
c-8,"January 2026: An Exceptional Snowstorm

Even as extreme cold and snow become increasingly rare, January 2026 brought an unusually persistent, six-day snowfall. The storm paused fresh food deliveries for major supermarket chains like Albert Heijn, Jumbo, etc., emptying shelves of dairy, meat, and produce. Some places also experienced panic-buying that even outpaced the Christmas season. 

Two of these things should stay separated: First, the long-term decline in extreme cold and heavy snow in the Netherlands is a documented statistical fact, backed by decades of KNMI records.  Second, the January 2026 winter storm is not, on its own, definitive proof of climate change, as a single weather event can always happen independently of a long-term trend. 

Yet, the trend and the event are profoundly connected. As extreme winter weather fades into memory, society slowly loses the infrastructure and habits built to manage it. A snowfall that would have been routine a generation ago can now suspend a nation’s supply chain. Where ice and snow once ruled, we are left with a society that simply forgot how to prepare for them. I mean remember the chaos back then?","Source: KNMI, PBL, Visser & Petersen, NL Times","a-23, a-24",,context-14
c-9,"On 22 February, 2026, cities in Korea, including Seoul, were covered by a haze of yellow dust (Hwangsa) and fine dust. As a result of this, the scenery appears grey and hazy. This is a rather familiar opening act to the Korean spring, and it is the norm. However, in the past, this did not occur as much as it does now. The issue is not the phenomenon itself; it is the frequency of its arrival. The yellow dust events in Korea today average around 9.5 times a year. Through the 1990s, though, it averaged about 3.3 times a year. So the number tripled.

So why is this happening? – Yellow dust is caused by dust blown from the Gobi and Inner Mongolian deserts. With the constant warming and drying of lands, desertification is gradually spreading across the lands of  Mongolia. As a result, dust-generating days have nearly tripled since 1960 as well.","Source: Korea Meteorological Administration (KMA), Mongolian dust research cited in Korean press","a-4, a-3",,context-02
c-10,"In the early 2025, Seoul was covered in snow up until April. It even snowed on April 13, 2025, and this was the first time in the recorded history that April snowfall actually took place, making it the latest snow Seoul had seen in the past 118 years. As seen in the picture, a tree is there, standing under the snow. Compared to that, in April 1988, cherry blossoms bloomed on top of freshly green grass with no trace of snow. This late snow is not just an isolated part; it is a visible piece of evidence of the growing gap between when spring falsely begins and when winter truly leaves.",Source: KMA seasonal observation records,"a-6, a-28","c-1, c-2",context-04
c-11,"Rainstorms

In Korea, rain no longer falls the way it used to. The steady, predictable monsoon rains (Jangma) that once gently watered the land across the season have given a way to short, violent bursts of downpourts. Historical records show that Korea’s annual average rainfall rose by 19% from 1,155.6 mm in the 1910s to 1,375.4 mm in the 2000s.

More importantly, though, is the rising intensity. Nationwide happenings of extreme rain days that exceed 100 mm within 24 hours, surged from 222 events during the 1970s-1980s to 385 events in the most recent decade.",Source: Korea Meteorological Administration (KMA); Korea Environment Institute; Seoul urban drainage research (University of Seoul),"a-17, a-18",,context-07
c-12,"Heatwave

In a 1961 photograph, a family cooling off outdoors in a simple basin of water was a modest, joyful response to a Korean summer. Fast forward to the summer of 2026 outside a museum plaza, and that simple relationship with heat is gone: now, every single visitor is forced into a narrow strip of shade along the building's edge. Heat is imposing a small, involuntary choreography on the crowd. Today, shade itself has become infrastructure people must plan their movements around, largely because the night no longer offers relief either. 

This is mainly because the night no longer offers relief. In 2024, Korea recorded an average of 20.2 tropical nights nationwide, which is more than triple the historical norm, meaning the intense humidity prevents the human body from recovering after sunset. This relentless thermal strain reached a breaking point in 2025, sending 4,460 people to emergency rooms for heat-related illnesses. It stands as the second-highest toll since tracking began in 2011, narrowly trailing the catastrophic summer of 2018 (4,526 patients).",Source: Korea Disease Control and Prevention Agency (KDCA),"a-19, a-20",,context-06
c-13,"Autumn is Arriving Late, while Winter is Arriving on Time

Historically, late November in Korea meant bare branches, with winter snow arriving only after autumn had cleanly left. These photographs capture a broken timeline: snow piling on top of branches that are still stubbornly wearing fresh autumn colors. A generation ago, the landscape would have looked entirely ready for the freeze. Today, this overlapping of seasons serves as a stark witness to a warming planet.

The metrics behind this delay are undeniable. Data compiled since 2009 shows that Korea’s peak foliage date has been shifting later by 0.4 days every year, with every 1°C increase in summer heat delaying autumn foliage by an additional 1.5 days. In 2021, this climatic drift delayed peak autumn colors on Mt. Seorak and Mt. Jiri by 9 days, and Mt. Bukhan by 4 days—fundamentally altering the natural rhythms of the Korean peninsula.","Source: Korea Forest Service, National Arboretum autumn foliage observation data; Seoul National University Graduate School of Environmental Studies","a-26, a-27, a-28",,context-12
