Number,Country,Season,Title(kr),TItle(eng),Title(nl),Photographer,Date,Description(kr),Description(eng),Description(nl),Past/Present,id
a-1,NL,Spring,,,Bloeiende fruitboom in de Betuwe met Van der Polls stiefdochters Hans en Renée,"Poll, Willem van de",1932,,,,Past,artwork-31
a-2,NL,Spring,얼어붙은 명이나물,Frozen Ramsons,Bevroren Daslook,Dolce,"18 April, 2021",명이가 가득한 숲으로 갔는데 4월인데도 눈이 내려서 명이 옆에 눈이 와 있었어요.,"I went to a forest full of ramsons (wild garlic). Even though it was April, it was snowing, and there was snow right next to the ramsons.","Ik ging naar een bos vol daslook. Hoewel het april was, sneeuwde het en lag er sneeuw vlak naast de daslook.",Present,artwork-04
a-3,KR,Spring,미세먼지와 황사를 머금은 풍경,Landscape Shrouded in Fine Dust and Yellow Dust.,Een Landschap Gehuld in Geel Stof en Fijnstof,다연,February 2026,차를 타고 이동하던 중 바깥을 보았더니 심각한 미세먼지와 황사로 인해 경치가 너무 뿌옇게 보였어요.,"While traveling by car, I looked outside, and the scenery was so blurry and hazy due to the severe fine dust and yellow dust.","Toen ik in de auto zat en naar buiten keek, was het uitzicht door het ernstige fijnstof en geel stof ontzettend wazig en grauw.",Present,artwork-03
a-4,KR,Spring,덕수궁 전경,,,Seoul Metropolitan Archives.,,,,,Past,artwork-24
a-5,KR,Spring,덕수궁 풍경,,,Seoul Metropolitan Archives,April 1988,,,,Past,artwork-25
a-6,KR,Spring,지금 눈이 온다고?,Snowing Right Now?,"Sneeuw, Nu Al?",박지은,"29 March, 2025","3월말 봄날을 예상하며 놀이공원에 갔는데, 눈이 펑펑 쏟아져서 당황했습니다. 눈이 정말 많이 쏟아져서 그치기를 기다리다가 결국 입장하지 않고 돌아왔어요.","I went to an amusement park expecting a spring day at the end of March, but I was so taken aback because it started pouring down snow. It snowed so hard that I waited for it to stop, but in the end, I just turned back home without even entering.","Eind maart ging ik naar een pretpark in de verwachting van een lentedag, maar ik was totaal flabbergasted toen het opeens keihard begon te sneeuwen. Het sneeuwde zo hard dat ik heb gewacht tot het ophield, maar uiteindelijk ben ik maar omgedraaid zonder überhaupt naar binnen te gaan.",Present,artwork-01
a-7,NL,Summer,타버린 깻잎,Burnt Perilla Leaves,Verbrande Perillablaadjes,Dolce,"28 June, 2026",발코니에서 키우던 깻잎이 유럽 폭염기간동안 햇빛이 너무 세서 탔어요…,The perilla leaves I was growing on the balcony got burnt because the sunlight was too intense during the European heatwave...,"De perillablaadjes die ik op het balkon kweekte, zijn verbrand omdat het zonlicht tijdens de Europese hittegolf te intens was...",Present,artwork-10
a-8,NL,Summer,텅텅,Empty,Leeg,Nana,Summer 2026,폭염 기간 동안 식료품점의 냉장고들이 텅 빌 정도였습니다.,The fridges at the grocery stores were empty during the heatwave.,De koelkasten in de supermarkten waren leeg tijdens de hittegolf.,Present,artwork-11
a-9,NL,Summer,8월의 플리스,Fleece in August,Fleece in Augustus,Kimmy,"20 August, 2026","Q. 누가 8월에 플리스를 입냐고요?
A. 네덜란드 사람들이요","Q. Who wears fleece in August? 
A. The Dutches.
","V. Wie draagt er fleece in augustus? 
Antw. De Nederlanders.",Present,artwork-16
a-10,NL,Summer,추운 여름,Cold summer,Koude zomer,Kimmy,"23 August, 2026",여름에도 겨울 외투가 필요할 수 있습니다. 날씨가 어떻게 바뀔지 전혀 알 수 없기 때문입니다.,"Even in summer, you may need a winter jacket. Cuz you never know how the weather will change.",Zelfs in de zomer heb je misschien een winterjas nodig. Je weet namelijk nooit hoe het weer zal omslaan.,Present,artwork-12
a-11,NL,Summer,,,Bij een boom in een straat in Vreewijk...,Stadsarchief Rotterdam,July 2024,,,,,artwork-26
a-12,NL,Summer,,,Kinderen Spelen op het Strand bij Holle Poarte in Makkum,Nationaal Archief,"29 August, 1990",,,,Past,artwork-22
